"Valid Values","Description","source"
"intestinal crypt stem cell of large intestine","An intestinal stem cell that is located in the large intestine crypt of Liberkuhn. These stem cells reside at the bottom of crypts in the large intestine and are highly proliferative. They either differentiate into transit amplifying cells or self-renew to form new stem cells. Synonyms: stem cell of large intestine crypt of Lieberkuhn","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"intestinal crypt stem cell of small intestine","An intestinal stem cell that is located in the small intestine crypt of Liberkuhn. These stem cells reside at the bottom of crypts in the small intestine and are highly proliferative. They either differentiate into transit amplifying cells or self-renew to form new stem cells. Synonyms: stem cell of small intestine crypt of Lieberkuhn","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"lymphocyte of large intestine lamina propria","A lymphocyte that resides in the lamina propria of the large intestine. Synonyms: lamina propria lymphocyte of large intestine","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"nephrogenic zone cell","A kidney cortical cell that is part of the nephrogenic zone. Synonyms: cortical nephrogenic niche cell, cortical nephrogenic zone cell","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"tuft cell of appendix","An intestinal tuft cell that is a part of a vermiform appendix. Synonyms: appendix tuft cell, tuft cell of appendix vermiformis, tuft cell of vermiform appendix","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"stromal cell of lamina propria of large intestine","A stromal cell found in the lamina propria of the large intestine.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"stromal cell of lamina propria of small intestine","A stromal cell found in the lamina propria of the small intestine.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"small intestine Peyer's patch T cell","A T cell which resides in the Peyer's patch of the small intestine. Synonyms: T cell of Peyer's patch of small intestine, T cell of small intestine Peyer's patch","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"mesothelial cell of small intestine","A mesothelial cell that is part of the small intestine.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"mesothelial cell of colon","A mesothelial cell that is part of the colon.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"enterocyte of appendix","An enterocyte that is a part of a vermiform appendix. Synonyms: appendix enterocyte, enterocyte of appendix vermiformis, enterocyte of vermiform appendix","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"transit amplifying cell of appendix","A transit amplifying cell that is part of a crypt of Lieberkuhn of large intestine. Synonyms: appendix transit amplifying cell, transit amplifying cell of appendix vermiformis, transit amplifying cell of vermiform appendix","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"intestinal crypt stem cell of appendix","An intestinal crypt stem cell that is located in the vermiform appendix. These stem cells reside at the bottom of crypts in the appendix and are highly proliferative. They either differentiate into transit amplifying cells or self-renew to form new stem cells. Synonyms: appendix intestinal crypt stem cell, intestinal crypt stem cell of appendix vermiformis, intestinal crypt stem cell of vermiform appendix, stem cell of intestinal crypt of Lieberkuhn of appendix, stem cell of intestinal crypt of Lieberkuhn of appendix vermiformis","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"mesothelial cell of appendix","A mesothelial cell that is located in a vermiform appendix. Synonyms: appendix mesothelial cell, mesothelial cell of appendix vermiformis, mesothelial cell of vermiform appendix","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"enteroendocrine cell of appendix","An intestinal enteroendocrine cell that is located in a vermiform appendix. Synonyms: appendix enteroendocrine cell, enteroendocrine cell of appendix vermiformis, enteroendocrine cell of vermiform appendix","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"T cell of appendix","A T cell that is located in a vermiform appendix. Synonyms: T cell of appendix vermiformis, T cell of vermiform appendix, appendix T cell","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"B cell of appendix","A B cell that is located in a vermiform appendix. Synonyms: B cell of appendix vermiformis, B cell of vermiform appendix, appendix B cell","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"plasma cell of appendix","A plasma cell that is located in a vermiform appendix. Synonyms: appendix plasma cell, plasma cell of appendix vermiformis, plasma cell of vermiform appendix","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"dendritic cell of appendix","A dendritic cell that is located in a vermiform appendix. Synonyms: appendix dendritic cell, dendritic cell of appendix vermiformis, dendritic cell of vermiform appendix","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"stromal cell of lamina propria of vermiform appendix","A stromal cell found in the lamina propria of the vermiform appendix. Synonyms: stromal cell of appendix lamina propria, stromal cell of lamina propria of appendix vermiformis","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"appendix macrophage","A macrophage located in the vermiform appendix. Synonyms: macrophage of appendix, macrophage of appendix vermiformis, macrophage of vermiform appendix","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"lymph node mantle zone B cell","A B lymphocyte that resides in the mantle zone of the lymph node germinal center. These are generally IgM and IgD positive activated B cells that form a 'corona' around the germinal center and are part of the establishment of a secondary lymphatic follicule. Synonyms: mantle zone B cell of lymph node","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"colon macrophage","A macrophage that is located in the colon. Synonyms: macrophage of colon","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"colon goblet cell","A goblet cell that is located in the colon. Synonyms: goblet cell of colon","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"stromal cell of lamina propria of colon","A stromal cell found in the lamina propria of the colon. Synonyms: stromal cell of colon lamina propria","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"tuft cell of colon","A tuft cell that is part of the colonic epithelium, primarily adapted for microbial sensing in the dense colonic microbiota. Unlike its small intestinal counterpart, it does not participate in parasite-driven tuft cell–ILC2 circuits. Instead, it detects bacterial metabolites via taste-signaling pathways (Strine and Craig, 2022). The colonic tuft cell plays a key role in epithelial repair, modulates inflammatory responses through IL-25 secretion, and contributes to intestinal homeostasis by balancing microbiome interactions (Sebastian et al., 2021). Synonyms: colon tuft cell","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"enteroendocrine cell of colon","An enteroendocrine cell that is located in the colon. Synonyms: colon enteroendocrine cell","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"intestinal crypt stem cell of colon","An intestinal crypt stem cell that is located in the crypt of Lieberkuhn of colon.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"lymphocyte of small intestine lamina propria","A lymphocyte that resides in the lamina propria of the small intestine. Lamina propria leukocytes and intraepithelial lymphocytes are the effector compartments of the gut mucosal immune system. Lymphocytes circulate through gut associated lymphoid tissues until recruitment by intestinal antigens. They are involved in the gut immune response. Synonyms: gastrointestinal tract (lamina propria) lymphocyte of small intestine, lamina propria lymphocyte of small intestine, small intestine lamina propria lymphocyte","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"B cell of medullary sinus of lymph node","A B cell found in the lymph node medullary sinus.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"T cell of medullary sinus of lymph node","A T cell found in the lymph node medullary sinus.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"macrophage of medullary sinus of lymph node","A macrophage found in the medullary sinus of the lymph node. Synonyms: lymph node medullary sinus macrophage","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"anorectum macrophage","A macrophage that is located in the anorectum. Synonyms: macrophage of anorectum","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"smooth muscle cell of high endothelial venule of lymph node","A layer of smooth muscle cells that forms the outer layer of the high endothelial venule of lymph node and pumps to allow flow of lymph fluid carrying lymphocytes. Synonyms: high endothelial venule of lymph node smooth muscle cell","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"B cell of anorectum","A B cell that is located in the anorectum.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"T cell of anorectum","A T cell that is located in the anorectum.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"smooth muscle cell of anorectum","A smooth muscle cell that is located in the anorectum. Synonyms: anorectum smooth muscle cell","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"stromal cell of anorectum lamina propria","A stromal cell found in the lamina propria of the anorectum.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"microfold cell of epithelium proper of anorectum","A microfold cell (M cell) that is part of the anorectum. Synonyms: M cell of anorectum","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"paneth cell of anorectum","A paneth cell that is located in the anorectum. Synonyms: anorectum paneth cell","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"transit amplifying cell of anorectum","A transit amplifying cell that is located in the anorectum. Synonyms: anorectum transit amplifying cell","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"anorectum goblet cell","A goblet cell that is located in the anorectum. Synonyms: goblet cell of anorectum","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"enterocyte of anorectum","An enterocyte that is located in the anorectum. Synonyms: anorectum enterocyte","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"plasma cell of medullary sinus of lymph node","A plasma cell that is located in the medullary sinus of the lymph node.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"marginal zone B cell of lymph node","A mature B cell located in the marginal zone of the lymph node. Synonyms: lymph node marginal zone B cell","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"intestinal crypt stem cell of anorectum","An intestinal crypt stem cell that is located in the anorectum. Synonyms: anorectum intestinal crypt stem cell","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"germinal center T cell","A specialized type of CD4 positive T cell, the follicular helper T cell (TFH cell), that upregulates CXCR5 expression to enable its follicular localization. These specialised T cells reside in the germinal center of the lymph node. Synonyms: T follicular helper cell of germinal center of lymph node, T follicular helper cell of lymph node germinal center, lymph node germinal center T follicular helper cell","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
